時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:予告,付帯:接近,付帯:連呼・戸閉
8:47,2,3,上東東海道線,直通,普通,,,品川,4つドア:G,10,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません\n空白0.5秒\n普通車は\n足元の\n青い\n乗車口\n1号車から\n3号車と\n6号車から\n10号車で\nお待ちください,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません,
8:58,1,1,上東東海道線,直通,普通,,,小田原,4つドア:G,10,0,,,,,,,,,列車,,,
8:56,1,6,,,貨物,,,,,,0,,,,,,,,,列車,,,
,1,6,,,臨時,,,大宮,,,0,,,,,,,,,列車,,,
9:04,2,2,湘新東海道線,直通,普通,,,平塚,4つドア:G,15,0,,,,,,,,,列車,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません,
9:18,2,3,,,普通,,,上野,4つドア,15,0,,,,,,,,,列車,,,
9:25,1,0,上東東海道線,直通,普通,,,熱海,4つドア:G,10,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません\n空白0.5秒\n普通車は\n足元の\n青い\n乗車口\n1号車から\n3号車と\n6号車から\n10号車で\nお待ちください,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません,
9:42,2,3,上東東海道線,直通,普通,,,小田原,4つドア,15,0,,,,,,,,,列車,,,
9:51,1,0,湘新東海道線,直通,特別快速,,,小田原,4つドア:G,10,1:後ろより,,,,,,,当駅,5,列車,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません\n空白0.5秒\n次は\n熊谷\nに\n止まります,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません\n空白0.5秒\n次は\n熊谷\nに\n止まります,
9:58,2,3,上東東海道線,直通,普通,,,小田原,4つドア,15,0,,,,,,,,,列車,,,
10:04,1,0,,,普通,,,上野,4つドア:G,10,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません\n空白0.5秒\n普通車は\n足元の\n青い\n乗車口\n1号車から\n3号車と\n6号車から\n10号車で\nお待ちください,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません,
10:13,2,3,湘新東海道線,直通,普通,,,平塚,4つドア:G,15,0,,,,,,,,,列車,,,
10:28,1,0,上東東海道線,直通,普通,,,熱海,4つドア:G,10,0,,,,,,,,,列車,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません\n空白0.5秒\n普通車は\n足元の\n青い\n乗車口\n1号車から\n3号車と\n6号車から\n10号車で\nお待ちください,\n空白0.5秒\nホームの\n高崎\n寄りには止まりません,
10:40,2,3,上東東海道線,直通,普通,,,小田原,4つドア:G,15,0,,,,,,,,,列車,,,
10:50,1,0,湘新東海道線,直通,特別快速,,,小田原,4つドア:G,10,1:後ろより,,,,,,,当駅,5,列車,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません\n空白0.5秒\n次は\n熊谷\nに\n止まります,\n空白0.5秒\nさいたま新都心\nには\n停車いたしません\n空白0.5秒\n次は\n熊谷\nに\n止まります,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
,,,,,,,,,,,,,,,,,,,,列車,,,
